,소비자물가지수,생산자물가지수,주택매매가격지수,아파트매매가격지수,금리,KOSPI지수,원/달러환율
2020/01,100.09,101.02,80.516,133.0,1.25,2203.4425,1164.275
2020/02,100.16,100.69,80.798,134.9,1.25,2167.1235,1193.79
2020/03,99.94,99.8,81.18,135.9,0.75,1786.7463636363636,1220.0863636363638
2020/04,99.5,98.93,81.31,134.8,0.75,1849.589,1225.225
2020/05,99.44,98.96,81.326,135.4,0.5,1965.1742105263156,1228.6736842105263
2020/06,99.71,99.47,81.755,140.5,0.5,2134.6968181818183,1210.009090909091
2020/07,99.63,99.69,82.943,147.7,0.5,2195.9486956521737,1198.9
2020/08,100.19,100.18,84.189,152.4,0.5,2349.873,1186.845
2020/09,100.74,100.38,85.383,154.5,0.5,2371.5114285714285,1178.8
2020/10,100.18,99.98,86.178,155.8,0.5,2357.821052631579,1144.6842105263158
2020/11,100.09,100.06,87.613,158.7,0.5,2504.1809523809525,1116.7619047619048
2020/12,100.33,100.84,88.701,162.1,0.5,2755.7709523809526,1095.1318181818183
2021/01,101.04,101.96,89.828,167.2,0.5,3089.267,1097.49
2021/02,101.58,102.8,90.856,169.5,0.5,3092.411666666667,1111.7166666666667
2021/03,101.84,103.89,91.732,170.2,0.5,3032.4690909090914,1131.0181818181818
2021/04,101.98,104.88,92.407,171.5,0.5,3165.083181818182,1119.4045454545455
2021/05,102.05,105.45,93.144,174.8,0.5,3169.2005263157894,1123.2842105263157
2021/06,102.05,106.01,94.084,179.0,0.5,3259.14,1121.2954545454545
2021/07,102.26,107.04,95.029,182.9,0.5,3254.5731818181816,1143.9818181818182
2021/08,102.75,107.6,96.163,186.5,0.75,3182.5009523809526,1160.338095238095
2021/09,103.17,108.0,97.624,189.3,0.75,3141.6994736842107,1169.542105263158
2021/10,103.35,109.12,98.696,190.0,0.75,2989.873157894737,1182.8210526315788
2021/11,103.87,109.9,99.42,186.7,1.0,2964.3018181818184,1182.909090909091
2021/12,104.04,109.88,99.787,183.8,1.0,2988.4940909090906,1183.7
2022/01,104.85,111.04,100.0,182.8,1.25,2865.552,1194.0049999999999
2022/02,105.42,111.57,100.196,180.9,1.25,2724.0150000000003,1198.3388888888887
2022/03,106.1,113.27,100.253,183.3,1.25,2698.7161904761906,1221.0285714285715
2022/04,106.83,115.1,100.38,184.6,1.5,2703.2428571428572,1232.338095238095
2022/05,107.5,115.92,100.558,182.1,1.75,2628.3385714285714,1269.8809523809523
2022/06,108.21,116.57,100.723,182.3,1.75,2474.9485,1277.345
2022/07,108.73,116.9,100.79,175.0,2.25,2362.794761904762,1307.395238095238
2022/08,108.63,116.45,100.719,169.6,2.5,2479.5713636363635,1318.4409090909091
2022/09,108.82,116.53,100.641,165.6,2.5,2333.9285,1391.59
2022/10,109.16,117.13,100.184,157.6,3.0,2230.271052631579,1426.657894736842
2022/11,109.07,116.75,99.3,149.0,3.25,2417.558636363636,1364.1000000000001
2022/12,109.26,116.27,98.519,143.3,3.25,2361.2785714285715,1296.2181818181818
2023/01,110.07,116.69,97.344,145.2,3.5,2362.3565,1247.25
2023/02,110.33,116.91,96.687,148.0,3.5,2450.3375,1270.74
2023/03,110.52,117.05,96.056,150.1,3.5,2417.564545454545,1305.7272727272727
2023/04,110.77,116.96,95.531,152.4,3.5,2523.2855,1320.0049999999999
2023/05,111.13,116.53,95.045,154.3,3.5,2524.4294999999997,1328.205
2023/06,111.16,116.27,94.875,157.0,3.5,2598.9133333333334,1296.7142857142858
2023/07,111.29,116.53,94.732,158.6,3.5,2594.387142857143,1286.304761904762
2023/08,112.28,117.5,94.697,160.6,3.5,2562.0518181818184,1318.4727272727273
2023/09,112.85,118.03,94.836,162.1,3.5,2543.822105263158,1329.4736842105262
2023/10,113.27,117.86,94.943,161.9,3.5,2392.1363157894734,1350.6947368421054
2023/11,112.68,117.41,94.951,159.6,3.5,2458.947727272727,1310.390909090909
2023/12,112.73,117.56,94.876,157.7,3.5,2553.641052631579,1303.98
2024/01,113.17,118.19,94.76,158.2,3.5,2518.588181818182,1323.5681818181818
2024/02,113.78,118.55,94.719,158.9,3.5,2630.416315789474,1331.7368421052631
2024/03,113.95,118.82,94.664,159.1,3.5,2699.587,1330.6950000000002
2024/04,114.01,119.16,94.681,160.2,3.5,2674.25,1367.8285714285714
2024/05,114.1,119.25,94.685,161.5,3.5,2710.446,1365.3899999999999
2024/06,113.84,119.23,94.772,164.0,3.5,2748.1605263157894,1380.1315789473683
2024/07,114.13,119.56,95.174,167.6,3.5,2809.191739130435,1383.3826086956522
2024/08,114.54,119.38,95.669,170.2,3.5,2647.991904761905,1354.147619047619
2024/09,114.65,119.16,96.134,170.5,3.5,2593.624444444444,1334.8166666666666
2024/10,114.69,119.01,96.408,170.6,3.25,2596.107,1361.0
2024/11,114.4,119.1,96.594,170.8,3.0,2504.192857142857,1393.3761904761905
2024/12,114.91,119.52,96.762,170.3,3.0,2443.6425,1434.4238095238095
